stock_code,stock_name,trade_date,open_price,high_price,low_price,close_price,volume
051910,LG화학,2020-04-28,365000,371500,354000,362500,582497
051910,LG화학,2020-04-29,368000,376500,365000,376500,566265
005380,현대차,2020-02-03,123000,125000,121000,123500,1270442
005380,현대차,2020-02-04,123500,126000,122500,124000,1203992
005380,현대차,2020-02-05,125000,126000,123500,124000,1032267
005380,현대차,2020-02-06,125500,133000,125500,132000,1659774
005380,현대차,2020-02-07,130500,131000,127500,131000,999598
005380,현대차,2020-02-10,129500,132000,129000,130000,669628
005380,현대차,2020-02-11,131000,135000,130500,132500,949247
005380,현대차,2020-02-12,132500,137500,132500,136000,1373302
005380,현대차,2020-02-13,137000,137500,133000,133000,1035208
005380,현대차,2020-02-14,132500,135000,131500,133500,591584
005380,현대차,2020-02-17,133500,136000,132500,135500,555451
005380,현대차,2020-02-18,134000,134500,131000,132500,744150
005380,현대차,2020-02-19,133000,134000,130500,131500,776121
005380,현대차,2020-02-20,132500,133000,129000,130000,711858
005380,현대차,2020-02-21,128000,129500,127000,128000,686417
005380,현대차,2020-02-24,124500,125000,122000,122500,911932
005380,현대차,2020-02-25,122500,124500,122000,122500,796176
005380,현대차,2020-02-26,121000,124000,120000,122500,1001834
005380,현대차,2020-02-27,122500,123500,120000,121000,779402
005380,현대차,2020-02-28,118500,119000,114000,115000,1777353
005380,현대차,2020-03-02,116000,116000,113000,113500,1183337
005380,현대차,2020-03-03,116000,116500,112000,112500,1414986
005380,현대차,2020-03-04,112000,114000,112000,113000,1319901
005380,현대차,2020-03-05,115500,116000,113000,114000,1135241
005380,현대차,2020-03-06,113000,113500,110000,110500,1746834
005380,현대차,2020-03-09,110500,110500,110500,110500,0
005380,현대차,2020-03-10,102500,105000,101000,102000,2491487
005380,현대차,2020-03-11,103000,103000,99700,100000,2005654
005380,현대차,2020-03-12,100000,100000,100000,100000,0
005380,현대차,2020-03-13,86500,90200,83500,87200,4835445
005380,현대차,2020-03-16,88300,89500,82900,82900,2674557
005380,현대차,2020-03-17,78100,83400,78100,80100,2492208
005380,현대차,2020-03-18,80500,81200,73500,73500,2679420
